,data,idAluno,porcentagemAcerto,questao
1,2017-08-14 07:56:26.083,598cd5453bc48946977dcf66,50.0,59887c83684f4a3f78163c02
2,2017-08-14 16:19:03.629,5991cd63b3c8b42f3d5da402,0.0,59885f8d684f4a3f78163c00
3,2017-08-14 16:19:43.260,5991cd63b3c8b42f3d5da402,0.0,59885f8d684f4a3f78163c00
4,2017-08-14 16:19:58.406,5991cd793c13e92f349ee481,100.0,59885f8d684f4a3f78163c00
5,2017-08-14 16:20:55.198,5991cd63b3c8b42f3d5da402,0.0,59885f8d684f4a3f78163c00
6,2017-08-14 16:21:53.733,5991cd63b3c8b42f3d5da402,0.0,59885f8d684f4a3f78163c00
7,2017-08-14 16:22:15.073,5991cd63b3c8b42f3d5da402,0.0,59885f8d684f4a3f78163c00
8,2017-08-14 16:22:32.897,5991cd483c13e92f349ee47b,0.0,59885f8d684f4a3f78163c00
9,2017-08-14 16:22:38.972,5991cd63b3c8b42f3d5da402,100.0,59885f8d684f4a3f78163c00
10,2017-08-14 16:22:47.346,5991cd37b3c8b42f3d5da3fe,100.0,59885f8d684f4a3f78163c00
11,2017-08-14 16:24:01.378,5991cd580be9d42f2f68b909,0.0,59885f8d684f4a3f78163c00
12,2017-08-14 16:24:14.437,5991cd870be9d42f2f68b90c,100.0,59885f8d684f4a3f78163c00
13,2017-08-14 16:25:22.201,5991cd580be9d42f2f68b909,100.0,59885f8d684f4a3f78163c00
14,2017-08-14 16:25:45.201,5991cdadb3c8b42f3d5da40b,100.0,59885f8d684f4a3f78163c00
15,2017-08-14 16:25:47.913,5991cd490be9d42f2f68b907,100.0,59885f8d684f4a3f78163c00
16,2017-08-14 16:25:49.444,5991cdb78907ca2f441cd317,100.0,59885f8d684f4a3f78163c00
17,2017-08-14 16:25:56.700,5991cd490be9d42f2f68b907,100.0,59885f8d684f4a3f78163c00
18,2017-08-14 16:26:48.077,5991cd94b3c8b42f3d5da407,100.0,59885f8d684f4a3f78163c00
19,2017-08-14 16:26:51.904,5991cd700be9d42f2f68b90b,100.0,59885f8d684f4a3f78163c00
20,2017-08-14 16:26:53.490,5991cd6e3c13e92f349ee47d,100.0,59885f8d684f4a3f78163c00
21,2017-08-14 16:27:30.160,5991cd8e8907ca2f441cd316,100.0,59885f8d684f4a3f78163c00
22,2017-08-14 16:27:30.471,5991cd700be9d42f2f68b90b,100.0,59885f8d684f4a3f78163c00
23,2017-08-14 16:27:34.891,5991cd963c13e92f349ee482,100.0,59885f8d684f4a3f78163c00
24,2017-08-14 16:27:35.801,5991cd3e8907ca2f441cd314,100.0,59885f8d684f4a3f78163c00
25,2017-08-14 16:28:16.490,5991cd673c13e92f349ee47c,100.0,59885f8d684f4a3f78163c00
26,2017-08-14 16:29:10.522,5991cb910be9d42f2f68b906,100.0,59885f8d684f4a3f78163c00
27,2017-08-14 16:29:17.616,5991cd3c3c13e92f349ee47a,100.0,59885f8d684f4a3f78163c00
28,2017-08-14 16:29:25.368,5991cd45b3c8b42f3d5da401,100.0,59885f8d684f4a3f78163c00
29,2017-08-14 16:29:33.640,5991cda50be9d42f2f68b90d,100.0,59885f8d684f4a3f78163c00
30,2017-08-14 16:29:55.903,5991cd483c13e92f349ee47b,100.0,59885f8d684f4a3f78163c00
31,2017-08-14 16:30:16.164,5991cd65b3c8b42f3d5da403,100.0,59885f8d684f4a3f78163c00
32,2017-08-14 16:30:43.304,5991cd520be9d42f2f68b908,100.0,59885f8d684f4a3f78163c00
33,2017-08-14 16:31:12.873,5991cd688907ca2f441cd315,100.0,59885f8d684f4a3f78163c00
34,2017-08-14 16:31:19.878,5991cd76b3c8b42f3d5da404,100.0,59885f8d684f4a3f78163c00
35,2017-08-14 16:32:23.693,598cd8b823daeb4b50a4b254,50.0,59885f8d684f4a3f78163c00
36,2017-08-14 16:32:34.766,5991cd8fb3c8b42f3d5da406,100.0,59885f8d684f4a3f78163c00
37,2017-08-14 16:32:36.861,5991cd1a8907ca2f441cd313,100.0,59885f8d684f4a3f78163c00
38,2017-08-14 16:32:58.877,5991cd34b3c8b42f3d5da3fd,100.0,59885f8d684f4a3f78163c00
39,2017-08-14 16:33:02.209,5991cd3ab3c8b42f3d5da400,100.0,59885f8d684f4a3f78163c00
40,2017-08-14 16:33:39.338,5991ce280be9d42f2f68b911,100.0,59885f8d684f4a3f78163c00
41,2017-08-14 16:34:32.844,5991cd640be9d42f2f68b90a,100.0,59885f8d684f4a3f78163c00
42,2017-08-14 16:34:37.325,5991cd793c13e92f349ee481,100.0,59887121d7c3703f96fda00c
43,2017-08-14 16:35:24.378,5991cd63b3c8b42f3d5da402,0.0,59887121d7c3703f96fda00c
44,2017-08-14 16:37:01.398,5991cd8bb3c8b42f3d5da405,100.0,59885f8d684f4a3f78163c00
45,2017-08-14 16:37:40.019,5991cd39b3c8b42f3d5da3ff,100.0,59885f8d684f4a3f78163c00
46,2017-08-14 16:37:48.194,5991cd39b3c8b42f3d5da3ff,100.0,59885f8d684f4a3f78163c00
