,idTurma,matricula,ano,idAluno,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45
86,59c7cd0a2a9f7f114be24474,2016020670.0,2017.2,59c15b4f3a726429dba26635,0.0,2.0,5.0,Prova 1 - Turma 03 - 2017.2,50.0,3.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,25.0,0,6,4,10,9,2,20,11,31,9,1
87,5b7b01fdb50b33674989816f,2016020670.0,2018.2,59c15b4f3a726429dba26635,95.0,4.0,4.0,Prova 1 - Turma 3C - 2018.2,50.0,3.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,72.5,1,6,4,10,9,2,20,11,31,9,1
88,59c7cd0a2a9f7f114be24474,20170038732.0,2017.2,59c96f42db4d4443c4f01484,0.0,5.0,5.0,Prova 1 - Turma 03 - 2017.2,0.0,5.0,5.0,Segunda Prova,0.0,0,9,24,18,18,9,51,27,78,49,25
89,59c7cd0a2a9f7f114be24474,20170038732.0,2017.2,59c96f42db4d4443c4f01484,0.0,5.0,5.0,Prova 1 - Turma 03 - 2017.2,46.6,4.0,5.0,Prova 02 - Turmas 3A e 3B - 2018.1,23.3,0,9,24,18,18,9,51,27,78,49,25
90,5ae078b65c7ccb1a0c9f6042,20170038732.0,2018.1,59c96f42db4d4443c4f01484,66.4,5.0,5.0,Prova 1 - Turmas 3A e 3B,0.0,5.0,5.0,Segunda Prova,33.2,0,9,24,18,18,9,51,27,78,49,25
91,5ae078b65c7ccb1a0c9f6042,20170038732.0,2018.1,59c96f42db4d4443c4f01484,66.4,5.0,5.0,Prova 1 - Turmas 3A e 3B,46.6,4.0,5.0,Prova 02 - Turmas 3A e 3B - 2018.1,56.5,1,9,24,18,18,9,51,27,78,49,25
92,5acc1380ba70ee4089836fec,20170043296.0,2018.1,5a9d3d04a6925304242372eb,34.2,2.0,5.0,Prova 1 - Turma 2A e 2B,31.6,4.0,5.0,Prova 2 - Turmas 2A e 2B - 2018.1,32.900000000000006,0,8,10,8,5,3,26,8,34,23,8
93,5acc1380ba70ee4089836fec,20170116641.0,2018.1,5aa68f91a7761c041bc627bb,40.0,2.0,5.0,Prova 1 - Turma 2A e 2B,100.0,5.0,5.0,Prova 2 - Turmas 2A e 2B - 2018.1,70.0,1,6,6,3,1,4,15,5,20,14,5
94,5acc1380ba70ee4089836fec,20170039678.0,2018.1,5a9d3cf6e293ba040bc7da2b,100.0,5.0,5.0,Prova 1 - Turma 2A e 2B,88.0,5.0,5.0,Prova 2 - Turmas 2A e 2B - 2018.1,94.0,1,13,9,12,4,6,34,10,44,32,10
95,5acc1380ba70ee4089836fec,20180007785.0,2018.1,5a9d3cb9a6925304242372ea,94.2,5.0,5.0,Prova 1 - Turma 2A e 2B,100.0,5.0,5.0,Prova 2 - Turmas 2A e 2B - 2018.1,97.1,1,7,3,4,3,2,14,5,19,14,5
